ItemName,ElementName,UnitName,AvgValue61to63,AvgValue07to09
Alcoholic beverages,Calories,kcal/capita/day,16.0877192982456,22.1722967549145
Animal Products (Total),Calories,kcal/capita/day,384.866228070175,509.250433089298
Apples,Calories,kcal/capita/day,5.61184210526316,9.26325248879386
Bananas & plantains,Calories,kcal/capita/day,42.1578947368421,43.6547487324035
Barley & beer,Calories,kcal/capita/day,34.4539473684211,42.8249394358553
Beans,Calories,kcal/capita/day,26.3508771929825,27.648664539511
Cassava,Calories,kcal/capita/day,83.7412280701754,65.2039473684211
Cereals (other),Calories,kcal/capita/day,20.8881578947368,10.0219317377149
Citrus (other),Calories,kcal/capita/day,0.572368421052632,0.809865342006579
Cloves,Calories,kcal/capita/day,0.00657894736842105,0.0482456140350877
Cocoa beans,Calories,kcal/capita/day,2.35745614035088,10.7300381729671
Coconuts,Calories,kcal/capita/day,55.1600877192982,43.4467124890175
Coffee,Calories,kcal/capita/day,1.60087719298246,3.0061497475636
Cottonseed oil,Calories,kcal/capita/day,10.0723684210526,6.07990320638377
Dates,Calories,kcal/capita/day,4.87280701754386,4.69114199630263
Fermented beverages,Calories,kcal/capita/day,9.53508771929824,6.5144018978114
Fruits (other),Calories,kcal/capita/day,24.219298245614,28.3263980944408
Grapefruit,Calories,kcal/capita/day,0.660087719298246,2.01581203151316
Grapes & wine,Calories,kcal/capita/day,20.0657894736842,18.2760409179605
Groundnut,Calories,kcal/capita/day,36.6600877192982,34.3116171547083
Lemons & limes,Calories,kcal/capita/day,0.717105263157895,1.04272646094298
Maize,Calories,kcal/capita/day,168.203947368421,198.841278763364
Millets,Calories,kcal/capita/day,43.6118421052632,29.9286503721469
Miscellaneous,Calories,kcal/capita/day,0.828947368421053,8.86508472024123
Oats,Calories,kcal/capita/day,3.75877192982456,4.02407296491667
Oilcrops (other),Calories,kcal/capita/day,13.8508771929825,22.5986251270614
Olives,Calories,kcal/capita/day,13.8771929824561,20.0418074800417
Onions,Calories,kcal/capita/day,3.28289473684211,7.44418131015789
Oranges & mandarines,Calories,kcal/capita/day,6.03728070175439,10.6515408459912
Palm oil,Calories,kcal/capita/day,18.8092105263158,57.4917969436074
Peas,Calories,kcal/capita/day,5.74342105263158,7.19654345157895
Pepper,Calories,kcal/capita/day,0.184210526315789,0.717880777489035
Pimento,Calories,kcal/capita/day,1.83771929824561,3.23792742623684
Pineapples,Calories,kcal/capita/day,1.25438596491228,3.4288126291557
Potatoes,Calories,kcal/capita/day,47.6710526315789,52.8001321762434
Pulses (other),Calories,kcal/capita/day,31.3114035087719,29.3330424756996
Rape & mustard,Calories,kcal/capita/day,4.46491228070175,21.8382741808289
Rice,Calories,kcal/capita/day,261.111842105263,328.825727738811
Roots (other),Calories,kcal/capita/day,32.5394736842105,23.2501599361425
Rye,Calories,kcal/capita/day,20.4912280701754,7.36757659360088
"Sesame ",Calories,kcal/capita/day,4.44736842105263,7.74524665784211
Sorghum,Calories,kcal/capita/day,61.5482456140351,35.1029830640351
Soybean,Calories,kcal/capita/day,18.4627192982456,77.3886855931754
Spices (other),Calories,kcal/capita/day,1.8859649122807,5.18561681592105
Sugar,Calories,kcal/capita/day,219.519736842105,263.652194120417
Sunflower,Calories,kcal/capita/day,10.5241228070175,39.4435532213684
Sweet potatoes,Calories,kcal/capita/day,25.8771929824561,17.3737282622807
Sweeteners (other),Calories,kcal/capita/day,3.62280701754386,18.2926333331118
Tea,Calories,kcal/capita/day,0.504385964912281,0.707644930686404
Tomatoes,Calories,kcal/capita/day,3.53508771929825,8.78303423576754
Treenuts,Calories,kcal/capita/day,6.96052631578947,14.7002965288487
Vegetables (other),Calories,kcal/capita/day,25.4385964912281,39.1390701994254
Wheat,Calories,kcal/capita/day,403.322368421053,494.605886709649
Yams,Calories,kcal/capita/day,20.9758771929825,20.0494145861711
